,Inflight wifi service,Gate location,Online boarding,Inflight entertainment,On-board service,Leg room service,Checkin service,Cleanliness,Type of Travel Ordinal,Class Ordinal,satisfaction Ordinal
0,3,1,3,5,4,3,4,5,0,0,0
1,3,3,3,1,1,5,1,1,1,1,0
2,2,2,5,5,4,3,4,5,1,1,1
3,2,5,2,2,2,5,1,2,1,1,0
4,3,3,5,3,3,4,3,3,1,1,1
5,3,1,2,1,3,4,4,1,0,2,0
6,2,3,2,2,3,3,3,2,0,2,0
7,4,4,5,5,5,5,4,4,1,1,1
8,1,2,3,1,1,2,4,2,1,1,0
9,3,4,3,2,2,3,4,2,1,2,0
10,4,4,5,2,3,3,3,2,1,2,0
11,2,2,2,1,1,2,5,1,0,0,0
12,1,4,1,1,1,1,4,1,1,2,0
13,4,3,4,4,4,5,2,4,0,2,1
14,3,2,3,2,4,3,2,2,0,2,0
15,2,3,2,4,2,1,1,4,1,2,0
16,3,3,4,4,5,3,5,4,1,1,1
17,4,4,4,5,5,5,3,5,1,1,1
18,4,4,4,5,5,5,3,4,1,1,1
19,2,2,3,5,1,2,3,5,0,2,0
20,2,4,2,2,1,5,4,2,1,2,0
21,3,3,3,5,2,5,3,5,0,2,0
22,3,5,4,3,3,3,3,4,0,2,0
23,4,5,3,4,4,4,2,2,0,2,0
25,4,1,4,5,3,2,4,5,0,2,0
26,1,1,5,4,4,4,5,2,1,1,1
27,4,4,2,4,4,4,2,2,1,0,1
28,3,1,2,3,3,3,2,2,1,1,0
29,3,3,3,3,2,4,4,3,0,2,0
30,4,4,5,5,5,4,1,5,1,1,1
31,2,3,2,5,3,1,2,5,1,2,0
32,4,4,4,3,3,4,4,4,1,1,1
33,4,1,4,5,5,4,5,5,0,2,0
34,3,4,3,1,4,1,1,1,1,1,0
35,1,4,1,1,3,5,3,1,1,2,0
36,3,3,4,5,5,4,4,5,1,1,0
37,4,2,4,2,5,1,3,2,0,0,0
38,4,3,4,4,4,4,4,4,0,2,1
39,1,2,1,1,3,3,4,1,1,1,0
40,4,4,5,4,4,4,4,3,1,1,1
41,3,4,3,3,4,4,5,3,1,1,0
43,3,3,1,5,5,5,2,4,1,1,1
44,1,1,5,3,3,3,4,5,1,1,1
45,1,1,5,5,4,2,5,5,1,1,1
46,2,1,2,4,4,5,4,4,0,1,0
47,1,1,1,1,3,5,1,1,1,1,0
48,3,3,2,5,5,5,4,3,1,1,1
49,2,3,2,5,2,3,1,5,0,2,0
50,2,1,2,2,3,3,3,2,1,2,0
51,3,3,4,4,3,4,4,4,1,1,1
52,5,5,2,5,5,5,4,2,1,2,1
53,2,4,2,4,4,4,4,4,0,2,0
54,2,3,3,4,4,2,4,4,0,2,0
55,2,2,5,4,4,4,3,5,1,1,1
57,5,5,5,5,5,5,3,4,1,1,1
58,3,3,3,4,1,1,2,4,1,1,0
59,2,1,2,4,4,2,5,4,1,2,0
60,2,3,2,3,2,1,2,3,1,1,0
61,2,2,4,4,4,4,4,3,1,1,1
62,2,2,2,4,4,4,2,4,1,2,0
63,3,3,4,5,5,5,4,4,1,1,1
64,5,5,4,4,4,4,3,4,1,1,1
65,3,3,5,4,5,4,4,4,1,1,1
66,2,3,2,4,3,2,4,4,0,2,0
67,2,2,4,5,5,5,5,4,1,1,1
68,2,1,2,2,3,2,2,2,1,2,0
69,4,4,4,4,3,3,1,4,1,0,1
70,4,4,4,5,5,5,4,5,1,1,1
71,3,2,3,3,2,5,1,3,1,0,0
72,2,4,2,5,5,4,5,5,1,1,0
73,1,2,1,2,4,4,5,2,0,0,0
74,3,2,3,1,4,4,3,1,0,2,0
75,5,4,5,1,4,2,4,1,1,1,1
76,2,4,4,2,2,2,1,4,1,1,0
77,4,2,4,2,4,5,4,2,0,2,1
79,2,2,2,3,3,5,4,3,1,1,0
80,1,1,4,4,4,2,4,4,1,1,1
81,4,3,4,3,2,3,3,3,1,2,0
82,3,4,3,5,3,2,2,5,1,1,0
84,2,2,5,4,4,4,5,4,1,1,1
85,4,4,4,4,1,2,4,4,1,0,1
86,3,2,4,5,5,3,4,5,0,0,0
87,3,4,3,5,4,4,3,5,0,2,0
88,3,3,1,4,4,4,3,1,1,1,1
89,2,3,2,3,3,1,1,3,1,2,0
91,5,3,5,2,3,4,4,2,1,1,1
92,4,1,4,4,2,2,4,4,1,1,0
93,5,4,3,5,5,5,1,1,1,0,1
94,2,5,2,3,3,2,3,4,1,2,1
95,4,1,4,4,4,3,5,4,1,2,1
96,4,5,4,5,2,2,3,5,0,2,0
97,3,2,3,3,2,1,1,3,0,1,0
98,1,3,1,5,5,1,3,5,0,0,0
99,3,3,3,3,5,2,3,3,1,1,1
100,2,1,2,3,5,4,4,3,0,2,0
101,5,5,5,4,5,5,5,4,1,1,1
102,2,2,2,5,4,2,3,5,0,2,0
103,3,3,3,3,4,1,3,3,1,0,0
105,3,3,3,4,1,1,2,4,0,2,0
106,1,3,1,1,4,3,2,1,1,2,0
107,4,3,4,5,2,5,1,5,0,2,0
109,3,2,2,4,5,4,3,4,0,2,0
110,5,5,5,4,4,5,4,3,1,1,1
111,4,2,3,4,4,4,4,1,1,1,0
112,1,5,1,1,1,1,4,1,1,1,0
113,2,3,2,5,5,2,2,5,0,2,0
114,2,2,5,4,4,4,5,4,1,1,1
115,2,1,2,1,3,3,4,1,0,2,0
116,2,3,2,3,1,1,2,3,0,2,0
117,1,1,5,2,2,2,5,5,1,1,1
118,4,3,4,3,5,4,4,3,1,2,0
119,4,3,3,4,4,4,4,4,1,1,0
121,4,1,4,4,1,3,3,4,1,2,0
122,1,3,1,3,4,2,5,3,0,2,0
123,5,5,5,4,4,4,3,5,1,1,1
124,4,3,1,5,3,5,1,1,0,2,0
125,3,3,4,4,4,4,5,3,1,1,1
126,2,2,5,4,4,4,3,5,1,1,1
127,1,4,3,2,2,1,2,4,1,0,0
128,3,2,3,3,4,5,5,3,0,2,0
129,4,4,4,4,2,2,2,4,1,2,1
130,4,3,4,2,4,5,4,2,1,1,1
132,3,1,2,3,3,3,1,3,1,1,0
133,3,2,3,3,2,2,3,3,1,1,0
135,2,2,5,5,5,2,3,5,1,1,1
136,3,3,4,5,5,5,3,5,1,1,1
137,3,3,3,3,4,2,2,3,1,1,0
138,1,1,3,1,1,1,1,1,1,1,0
139,2,2,4,4,4,1,3,4,1,1,1
140,4,3,1,3,3,3,1,1,0,2,1
141,4,5,4,1,3,4,5,1,0,2,0
142,3,1,3,3,3,3,3,4,1,1,0
143,3,1,3,1,1,5,3,3,0,1,0
144,3,3,3,5,2,1,1,5,1,2,0
145,3,3,3,5,2,4,4,5,0,2,0
146,1,1,5,5,5,5,5,3,1,1,1
147,2,2,4,3,3,4,3,4,1,1,1
149,4,2,4,3,3,5,3,4,0,1,0
150,5,5,4,2,2,2,5,3,1,1,1
151,1,3,3,1,1,1,1,4,1,1,0
152,1,1,1,5,4,4,4,5,1,1,0
153,2,4,2,2,2,4,1,2,1,2,0
154,4,4,4,5,5,5,4,3,1,1,1
155,4,4,4,1,3,4,4,1,0,2,0
156,1,4,1,4,5,2,4,4,0,2,0
157,3,4,4,5,4,4,2,5,1,2,0
158,2,2,5,3,3,4,5,1,1,1,1
159,2,3,3,3,3,2,3,2,0,2,0
160,2,2,4,4,3,5,4,4,1,1,1
161,2,2,5,3,3,4,4,3,1,1,1
163,3,4,5,4,4,2,4,3,0,2,0
164,2,2,4,5,5,5,3,4,1,1,1
165,5,5,5,5,1,4,1,5,1,0,1
166,2,3,2,5,4,3,2,5,1,2,0
167,2,3,2,3,1,4,2,3,0,2,0
168,5,1,5,1,1,1,5,5,1,2,1
169,5,1,5,5,5,1,5,5,1,2,1
170,3,3,4,4,4,4,4,3,1,1,1
172,3,3,4,4,4,4,3,3,0,2,0
173,5,5,4,4,4,4,5,5,1,1,1
174,4,4,3,3,3,2,5,3,1,1,1
175,3,5,3,3,2,4,2,3,1,1,0
176,1,1,4,4,4,4,5,4,1,1,1
177,4,3,4,3,4,5,4,3,1,1,0
178,3,3,4,5,4,5,4,4,1,1,1
179,4,1,4,4,4,3,2,4,1,1,0
180,5,3,1,5,5,5,3,4,1,2,1
181,1,2,3,1,1,1,4,3,0,2,0
182,2,3,3,4,4,3,3,4,0,2,0
183,1,1,5,4,4,4,5,2,1,1,1
184,4,3,4,1,4,2,5,1,0,2,0
185,1,3,3,5,5,1,1,2,0,2,0
186,2,2,4,4,4,4,3,4,1,1,1
187,3,4,3,3,2,5,4,3,1,2,0
188,2,2,2,1,1,3,3,1,0,1,0
189,4,4,3,1,5,3,5,1,0,2,1
190,1,1,1,2,3,5,3,2,0,2,0
191,2,3,2,2,3,4,2,2,0,2,0
192,1,5,1,1,2,5,4,1,1,2,0
193,3,3,3,2,3,3,4,2,0,2,0
196,3,3,5,4,4,4,3,5,1,1,1
197,1,2,5,3,3,2,3,3,0,2,0
198,3,4,3,2,2,2,4,2,1,1,0
199,2,3,2,1,4,5,5,1,0,1,0
200,5,5,5,5,5,5,3,4,1,1,1
201,5,5,4,5,5,5,5,3,1,1,1
202,2,4,2,2,3,2,2,2,1,2,0
203,4,4,5,5,1,3,3,5,1,1,1
204,2,2,2,2,5,2,3,2,0,2,0
205,2,2,1,2,3,5,3,2,1,2,0
206,2,4,2,4,4,5,4,4,0,2,0
207,2,2,1,5,5,5,2,3,1,1,1
208,2,2,4,1,1,2,4,3,0,2,0
209,4,3,3,3,3,3,4,3,1,1,0
210,5,5,4,4,4,4,4,4,1,1,1
211,4,3,3,1,1,4,3,1,0,2,0
212,2,4,3,2,2,3,4,4,1,1,0
214,2,4,1,3,1,1,2,3,0,2,0
215,2,2,1,4,4,4,4,1,1,1,1
216,1,2,1,2,4,3,4,2,0,2,0
217,1,4,1,1,3,3,4,1,0,2,0
218,5,1,5,4,5,5,4,4,1,0,1
219,2,5,2,4,4,3,3,4,0,0,0
220,2,3,2,3,4,4,3,3,0,2,0
222,2,2,4,4,4,4,3,4,1,1,1
223,2,3,2,1,4,4,4,1,0,2,0
224,2,3,3,4,5,3,2,2,0,2,0
225,3,3,5,4,4,4,5,3,1,1,1
226,2,4,3,5,5,2,3,2,0,2,0
227,3,3,4,2,2,2,1,2,1,1,0
228,2,2,2,3,3,5,4,3,1,1,0
229,1,1,1,3,1,5,3,3,1,2,0
230,1,1,5,5,5,5,4,4,1,1,1
231,5,5,5,5,2,3,1,5,1,1,1
232,4,4,4,4,4,4,1,2,1,1,1
233,2,4,3,2,2,2,4,3,1,1,0
234,3,5,3,4,5,4,5,4,1,1,0
235,4,4,2,4,4,4,2,1,1,1,1
236,2,4,4,3,3,3,4,3,0,2,0
237,3,2,3,1,4,2,5,1,0,0,0
238,2,1,4,3,3,5,1,1,0,2,0
240,3,4,3,3,2,2,3,3,1,2,0
241,5,5,5,5,2,5,3,5,1,1,1
242,4,4,4,4,4,2,3,4,1,1,0
243,3,4,3,1,2,2,1,1,0,2,0
244,1,1,5,4,4,1,5,3,0,1,0
245,1,1,5,5,5,5,4,5,1,1,1
246,4,4,4,4,4,4,3,3,1,1,1
247,3,1,3,3,3,4,4,3,1,1,0
248,4,5,4,4,2,4,3,4,1,0,1
249,2,5,2,5,2,5,1,5,1,2,0
250,2,4,2,1,3,2,4,1,0,2,0
251,3,4,3,4,3,5,2,4,1,2,0
252,4,3,4,4,2,3,1,4,1,2,0
253,5,5,1,5,5,5,5,5,1,1,1
254,2,2,4,4,4,4,4,3,1,1,1
255,2,4,3,2,2,2,4,1,1,1,0
256,2,3,2,4,1,4,1,4,1,2,0
257,3,3,3,1,5,2,4,1,0,2,0
258,2,5,3,3,3,2,4,3,1,0,0
259,4,4,4,4,4,4,5,4,1,2,1
260,2,2,5,5,3,4,5,5,1,1,1
261,4,1,5,5,5,4,4,5,0,2,0
262,3,4,3,4,4,5,5,4,1,1,0
264,2,2,5,5,5,5,4,4,1,1,1
265,4,3,4,4,1,2,1,4,1,2,0
266,2,3,4,2,2,2,1,4,1,1,0
267,2,2,2,5,5,5,3,3,1,1,1
269,4,3,5,5,5,4,3,1,1,2,1
270,1,1,5,3,3,3,5,3,1,1,1
271,2,3,3,2,2,2,5,3,0,2,0
272,3,1,2,3,3,3,2,2,1,1,0
273,3,4,3,5,5,5,3,5,0,2,0
274,4,3,4,5,4,5,4,5,0,2,0
276,1,1,4,5,5,5,5,5,1,1,1
277,5,1,3,5,5,5,3,1,1,2,1
278,3,3,4,4,3,5,4,4,1,1,1
279,2,2,4,5,5,5,4,4,1,1,1
280,4,2,4,4,4,4,3,2,1,1,0
282,3,4,3,5,5,4,3,3,1,2,0
283,2,3,2,4,5,3,3,4,0,2,0
284,1,4,3,1,1,1,4,2,1,2,0
285,2,5,2,2,2,4,3,2,1,1,0
286,2,3,2,3,4,2,5,3,0,0,0
287,5,4,5,4,4,4,3,4,1,1,1
288,1,5,4,1,1,1,4,4,0,2,0
289,4,2,4,4,3,4,3,4,1,2,0
290,2,4,2,2,1,2,4,2,1,0,0
291,3,3,4,2,4,4,4,4,0,2,0
292,4,3,4,4,3,4,4,4,1,1,1
293,4,4,4,1,4,5,1,1,1,0,0
294,4,4,4,4,4,4,5,5,1,1,1
295,2,2,5,5,5,5,5,3,1,1,1
296,3,3,4,4,4,4,3,3,1,1,1
297,2,5,2,2,3,4,4,2,1,0,0
298,4,5,4,4,3,4,5,4,0,2,1
299,4,5,4,4,2,1,2,4,1,2,1
300,3,3,3,4,4,3,3,5,1,1,1
301,2,2,5,4,4,4,4,3,1,1,1
302,3,3,3,5,4,2,1,5,0,2,0
303,4,4,5,4,4,4,5,5,1,1,1
304,3,3,5,1,1,3,2,5,0,2,0
305,3,2,2,2,1,5,1,2,1,2,0
306,2,1,3,2,2,4,3,2,1,1,0
307,4,5,4,4,3,5,1,4,1,2,1
308,2,2,4,4,3,4,3,4,1,1,1
310,1,5,1,4,2,4,5,4,1,1,0
311,5,5,5,4,4,4,4,3,1,1,1
312,5,5,5,3,4,4,5,5,1,1,1
313,5,5,4,5,5,5,4,3,1,1,1
314,2,3,2,2,5,5,5,2,0,0,0
315,3,3,4,5,4,3,3,5,1,1,1
316,3,3,3,1,4,5,3,1,1,2,0
317,4,4,4,4,4,4,4,4,1,1,1
320,3,4,4,3,3,3,1,3,1,1,0
321,5,5,5,5,5,5,4,3,1,1,1
322,2,2,2,5,4,5,2,5,0,2,0
323,2,3,2,1,4,1,1,1,0,2,0
324,1,1,5,5,3,2,5,5,1,1,1
325,2,3,2,2,1,5,4,2,0,2,0
326,2,3,2,5,3,3,5,5,0,2,0
327,3,3,4,4,4,4,4,5,1,1,1
329,2,4,2,2,4,5,4,2,1,1,0
330,2,2,2,4,4,3,3,4,0,2,0
331,5,5,5,5,5,5,2,3,1,1,1
332,3,1,3,1,3,2,4,1,0,0,0
333,5,4,5,1,5,2,4,1,1,1,1
334,4,1,4,3,3,2,3,3,0,2,0
335,1,5,1,1,2,3,3,1,1,2,0
336,4,4,4,5,4,1,3,5,1,2,0
337,2,1,4,2,2,2,1,4,1,1,0
338,2,4,2,2,2,2,5,1,1,2,1
339,4,3,4,3,5,3,4,3,0,2,0
340,4,2,4,1,5,3,4,4,1,1,0
341,1,2,1,5,1,3,4,5,1,2,0
342,3,3,3,1,1,5,2,1,1,1,0
343,2,3,2,5,5,4,3,5,1,1,0
